index,premise,hypothesis,label,readable_label,negated_part
6434,O poeta descreve a experiência de perceber alguém como atraente ou agradável,O poeta não está descrevendo a experiência de rejeição e indiferença,1,entailment,hypothesis
187,Senadores e médicos discutem ações e políticas para prevenção do câncer colorretal em uma audiência pública,Médicos e senadores não evitam falar sobre o câncer colorretal em uma audiência pública.,1,entailment,hypothesis
5991,Os shows duraram em média 45 minutos cada,Cada show não durou mais de uma hora,1,entailment,hypothesis
2218,Um homem está se barbeando em frente ao espelho,Um homem não está dormindo,1,entailment,hypothesis
5711,"Bailarinas estão sentadas em cadeiras de rodas, sorrindo e posando",As bailarinas não estão dançando no palco.,1,entailment,hypothesis
6639,A pessoa está quebrando um violão,Um violão não está sendo tocado,1,entailment,hypothesis
1579,Um menino está protegendo um violino,Um menino não está danificando um violino,1,entailment,hypothesis
5358,Uma pessoa está usando uma camisa branca aberta com um colar de ouro amarelo,A pessoa não está usando uma camisa preta fechada.,1,entailment,hypothesis
671,A mulher não está verificando suas mensagens.,A mulher não está respondendo suas mensagens.,2,neutral,hypothesis
2240,A turma de amigos se encontra reunida em uma sala mal iluminada,A turma de amigos não está reunida ao ar livre durante o dia,1,entailment,hypothesis
1361,Diversos tabletinhos de chocolate estão dispostos sobre a mesa numa variação gradual de chocolate branco para o mais intenso,Todos os tabletinhos de chocolate na mesa não são da mesma cor,1,entailment,hypothesis
6722,Três garotos estão construindo castelos e se divertindo em um playground fechado,Os três garotos não estão destruindo castelos no playground aberto,2,neutral,hypothesis
1950,Um estudo revela que um terço dos funcionários experimenta situações embaraçosas nas festas corporativas,Nem todos os funcionários se sentem confortáveis nas festas corporativas,1,entailment,hypothesis
7350,Um paciente está interagindo com um médico,O paciente não está sozinho em casa.,1,entailment,hypothesis
8227,A embalagem de goma de tapioca foi aberta e está vencida,A embalagem de goma de tapioca não está fechada.,1,entailment,hypothesis
8023,Gêmeos meninos com síndrome de Down estão encantando com seus sorrisos,Os gêmeos meninos com síndrome de Down não estão chorando.,1,entailment,hypothesis
2834,Um estudo revela que a música pop está se tornando progressivamente mais triste e dançante,Um estudo não mostra que a música pop está se tornando mais alegre e menos dançante,1,entailment,hypothesis
5607,Uma moça está sentada no banco da praça sob a sombra de uma árvore,"A moça não está de pé, caminhando fora da sombra da árvore na praça",1,entailment,hypothesis
1048,Os jogadores não estão sendo repreendidos pelo treinador.,O treinador não está dando bronca nos jogadores.,1,entailment,hypothesis
650,Uma árvore frondosa está na frente de uma casa branca sem outra vegetação por perto,Não existem várias árvores ao redor da casa branca,1,entailment,hypothesis
8226,"Diferentes tipos de linhaça são representados em forma de cápsula, óleo e farinha",A linhaça não pode ser consumida apenas em forma de grãos inteiros,1,entailment,hypothesis
6353,A mulher está colhendo uma maçã,A mulher não está colhendo uma maçã,2,neutral,hypothesis
36,Uma mulher está posicionada no cume da montanha com o céu estrelado como pano de fundo,A mulher não está no vale da montanha,1,entailment,hypothesis
611,O garoto gosta de correr no parque.,O garoto não gosta de correr.,2,neutral,hypothesis
311,Uma pequena gatinha preta está pulando pelo jardim,A gatinha preta não está dormindo no jardim.,1,entailment,hypothesis
2417,Um celular exibe uma conversa entre duas pessoas,Um celular não está exibindo uma conversa entre três pessoas,1,entailment,hypothesis
1784,O médico ressalta a importância e o impacto que o peso corporal tem na vida de uma pessoa,O médico não desconsidera a relevância do peso corporal na saúde de uma pessoa.,1,entailment,hypothesis
3726,Não há nenhum gato escalando uma montanha em uma trilha formada por pedras deslizadas,Não há um gato não escalando uma montanha em uma trilha formada por pedras deslizadas,1,entailment,hypothesis
5702,Uma árvore com flores vermelhas tem uma bicicleta da mesma cor estacionada embaixo dela,A bicicleta estacionada embaixo da árvore não tem flores brancas.,1,entailment,hypothesis
4162,"Casal aconchegado na poltrona, aproveitando a vista","O casal não está separado, cada um em um canto diferente da sala",1,entailment,hypothesis
1091,"Um agricultor está de costas, com a mão no chapéu, admirando sua plantação de café",O agricultor não está olhando para um campo de trigo.,1,entailment,hypothesis
6199,Um indivíduo está caminhando no parque sem um skate.,Um indivíduo não está caminhando no parque com um skate.,1,entailment,hypothesis
538,O menino está caminhando a pé pela trilha do parque,O menino não está correndo pela trilha do parque,1,entailment,hypothesis
648,A praia está cheia de turistas.,A praia não está vazia.,1,entailment,hypothesis
7746,O homem está indo pescar no lago próximo à floresta,"O homem não está indo para o centro da cidade, longe de qualquer lago ou floresta",1,entailment,hypothesis
6350,"Um homem está lendo um livro e convida outros a compartilhar o que estão lendo, incentivando a leitura entre amigos",O homem não está desencorajando a leitura entre amigos,2,neutral,hypothesis
5816,A bola de beisebol está sendo lançada no estádio.,A bola de beisebol não está parada,2,neutral,hypothesis
