index,premise,hypothesis,label,readable_label,negated_part
0,Um estudo afirma que jogar videogame pode aumentar a inteligência,Um estudo afirma que jogar videogame não pode aumentar a inteligência,2,neutral,hypothesis
5,Um helicóptero é ilustrado voando entre as nuvens,Há um helicóptero definitivamente não voando entre as nuvens,1,entailment,hypothesis
7,Um bolo retangular está coberto com ganache e decorado com raspas de chocolate preto na lateral e topo,O bolo retangular não está com ganache e decoração,1,entailment,hypothesis
9,O céu está nublado e ventando,O céu não está nublado e ventando,1,entailment,hypothesis
19,Um homem está dirigindo um carro para o fogo,O homem não está conduzindo o carro para o fogo,1,entailment,hypothesis
24,Uma criança está alimentando um pato amarelo com migalhas de pão na beira do lago,A criança não está alimentando nenhum pato na beira do lago,1,entailment,hypothesis
25,Três bodies estampados estão na vitrine da loja,Há falta de bodies estampados na vitrine.,1,entailment,hypothesis
29,Um homem está fazendo o sinal de positivo com a mão,O homem está não fazendo o sinal de positivo com a mão,1,entailment,hypothesis
30,Uma gaivota está voando sobre as ondas do oceano,A gaivota está realmente não voando sobre as ondas do oceano,1,entailment,hypothesis
33,Jovens em trajes de esporte não estão jogando bola no campo,Jovens não estão em trajes de esporte sem jogar bola no campo,2,neutral,hypothesis
34,Um gato preto está empurrando uma bola de vôlei com o focinho na areia da praia,Um gato preto não está dormindo na areia da praia.,1,entailment,hypothesis
35,Caixas de vacinas estão sendo descarregadas,Algumas doses de vacina estão sendo movidas do lugar,2,neutral,hypothesis
44,Existe um maço de couve fresca nas mãos de uma pessoa,As mãos da pessoa não estão vazias.,1,entailment,hypothesis
45,"A cama está arrumada e sobre ela há uma bandeja com uma xícara de café, uma agenda e um notebook",A cama não está desarrumada e há algo sobre ela.,1,entailment,hypothesis
51,A informação principal é que restam alguns dias para as eleições,As eleições não ocorreram ainda.,1,entailment,hypothesis
56,Uma mulher está se equipando antes de mergulhar,A mulher está se preparando para não escalar uma montanha,1,entailment,hypothesis
63,O shampoo e condicionador estão dispostos na janela do box do banheiro,Há algo na janela do box do banheiro,1,entailment,hypothesis
64,Uma mulher está subindo em uma bicicleta em uma calçada,Uma mulher não está andando a pé pela calçada,1,entailment,hypothesis
71,A água está sendo derramada na chaleira pelo homem,A chaleira não está vazia e seca,1,entailment,hypothesis
72,Os pais da garota estão presentes,A garota está com os pais,1,entailment,hypothesis
73,O indivíduo está afinando o violão,O indivíduo está mexendo em seu instrumento musical,1,entailment,hypothesis
76,O chimpanzé está rodeado de folhas na floresta,O chimpanzé não está em uma área deserta sem vegetação.,1,entailment,hypothesis
92,A afirmação defende que é possível realizar um treinamento intenso mesmo estando em casa,"O treinamento intenso pode ser feito em diferentes lugares, inclusive em casa",1,entailment,hypothesis
96,Um pequeno garoto oriental está sentado além do grupo e está se divertindo com um pião,Um pequeno garoto oriental não está de pé no meio do grupo,1,entailment,hypothesis
99,Uma borboleta aconselha uma lagarta que ela precisa se transformar para poder voar,A borboleta não diz à lagarta que ela pode voar sem se transformar,1,entailment,hypothesis
102,Um profissional de saúde está realizando radioterapia em um paciente deitado,O profissional de saúde não está realizando uma cirurgia no paciente,1,entailment,hypothesis
105,Uma menina está pulando enquanto joga tênis de praia com um instrutor,A menina não está sentada descansando após o jogo de tênis de praia,1,entailment,hypothesis
108,"Duas mulheres estão apresentando um monólogo, que é extremamente divertido, com uma dançarina de balé no meio de uma plateia entusiasmada",Há mulheres apresentando um monólogo divertido.,1,entailment,hypothesis
109,A psicóloga alerta sobre casos de tristeza profunda e depressão,A psicóloga menciona a tristeza e a depressão em seu aviso.,1,entailment,hypothesis
110,Uma borboleta azul com asas brilhantes repousa sobre a flor vermelha,Há borboletas pousando em flores,1,entailment,hypothesis
113,Os carros estão sendo dirigidos por dois motoristas,Nenhum motorista está dirigindo todos os carros,1,entailment,hypothesis
121,Há um menino alegremente empinando uma pipa de papel,O menino não está triste e sua pipa de papel não está no chão,1,entailment,hypothesis
126,A pessoa tem o cabelo preso em um rabo de cavalo com alguns cachos soltos ao redor da testa,A pessoa não tem cabelo totalmente solto,1,entailment,hypothesis
128,Um vidro transparente com álcool em gel está posicionado sobre duas máscaras para o rosto em um balcão preto,O recipiente transparente com álcool em gel não está vazio nem ao lado das máscaras,1,entailment,hypothesis
129,O texto apresenta um conteúdo alternativo relacionado à física,O texto não apresenta um conteúdo tradicional sobre física,1,entailment,hypothesis
132,Uma mulher está usando uma máscara com representações de vírus enquanto questiona como o coronavírus impacta as relações de trabalho,Uma mulher com máscara está discutindo sobre como o coronavírus afeta as relações de trabalho,1,entailment,hypothesis
139,Não há nenhum gato que é siamês e branco no jardim carregando um novelo de lã nas suas patas,Não há um gato siamês e branco carregando um novelo de lã no jardim,1,entailment,hypothesis
140,Caramelos de leite estão dispostos na mão,A mão não está vazia nem sem caramelos.,1,entailment,hypothesis
141,Um gato preto está pulando por um muro de pedras,Um gato preto não está dormindo em um muro de pedras.,1,entailment,hypothesis
144,Um barco está navegando,O barco não está parado.,1,entailment,hypothesis
151,Ciclistas e ônibus estão navegando através do trânsito frenético na metrópole,Ciclistas e ônibus não estão percorrendo uma estrada tranquila na metrópole.,1,entailment,hypothesis
155,Um cisne majestoso está repousando na margem de um lago sereno,O cisne não está voando sobre o lago.,1,entailment,hypothesis
156,Um homem está sentado próximo a dois adolescentes,O homem não está sozinho.,1,entailment,hypothesis
159,Engrenagens estão fixadas em uma parede e contidas em uma caixa de inox polido,As engrenagens não estão soltas sobre a mesa.,1,entailment,hypothesis
160,"Alunas de balé, mães e professora prestam homenagem ao Outubro Rosa","As alunas de balé, mães e professora não ignoram o Outubro Rosa.",1,entailment,hypothesis
165,O cartaz informa sobre as operações atuais da polícia durante a pandemia do novo Coronavírus,O cartaz contém informações sobre as operações atuais da polícia durante a pandemia do novo Coronavírus,1,entailment,hypothesis
166,"Um trem está cheio de pessoas, tanto sentadas quanto em pé, todas usando máscaras faciais",As pessoas no trem estão usando máscaras faciais.,1,entailment,hypothesis
167,"O garoto, que é muito jovem, está meticulosamente amarrando os cadarços de seu tênis",O menino está amarrando os cadarços do tênis.,1,entailment,hypothesis
168,O quadro tem o desenho da cabeça de um touro branco em perfil,O quadro não tem um desenho de uma cabeça de cavalo.,1,entailment,hypothesis
170,Uma profissional da saúde está aplicando a vacina no braço de uma mulher,A mulher está recebendo a vacina,1,entailment,hypothesis
171,Dois halteres e uma maçã enrolada com uma fita métrica estão dispostos,Halteres e maçã estão colocados sem fita métrica.,2,neutral,hypothesis
173,Duas mulheres não estão tirando um descanso no plantio do jardim,Duas mulheres não estão parando enquanto plantam um jardim,2,neutral,hypothesis
174,Os filhotes de cachorro nos cestos estão sendo usados como adereços para um comercial de televisão,Os filhotes de cachorro não estão sendo usados para uma produção de mídia,2,neutral,hypothesis
179,Oito aplicadores de produtos de sobrancelha estão dispostos numa mesa,Aplicadores de produtos de sobrancelha estão ausentes na mesa,1,entailment,hypothesis
182,Uma mulher envolta em uma toalha está se maquiando diante de um espelho,Uma mulher envolta em uma toalha não está se maquiando diante do espelho,1,entailment,hypothesis
183,Uma bola vermelha está sendo chutada por uma criança que está brincando no parque,Nenhuma bola é chutada por uma criança no parque,1,entailment,hypothesis
185,Um bolo redondo é coberto com chantilly espatulado branco e decorado com rosas e rosetas na lateral e em cima,O bolo redondo tem decoração simples,2,neutral,hypothesis
186,Uma mulher possui um chip localizado atrás de sua orelha,A mulher está sem dispositivos atrás de sua orelha,1,entailment,hypothesis
189,"Três adolescentes estão segurando seus celulares, com uma delas exibindo a tela da rede social",Alguns dos adolescentes não estão segurando seus celulares,2,neutral,hypothesis
190,Uma garotinha está tampando o rosto com a mão,A garotinha não está cobrindo o rosto com a mão,1,entailment,hypothesis
192,A atleta ganhou a medalha de bronze nos Jogos Paralímpicos,A atleta obteve uma medalha nos Jogos Paralímpicos,1,entailment,hypothesis
195,Uma tábua especial de frios contém uma ampla variedade de opções,A tábua de frios não tem poucas opções,1,entailment,hypothesis
202,Um homem está descascando uma laranja que é suculenta,O homem está descascando uma fruta,1,entailment,hypothesis
204,Uma mão está manuseando uma máquina de cartão para realizar um pagamento,A máquina de cartão está sendo usada para um pagamento,1,entailment,hypothesis
211,"A sala possui uma mesa decorada, uma planta, um puff e vários artigos decorativos",A sala tem móveis e decorações.,1,entailment,hypothesis
212,Três gatinhos estão se divertindo em um jardim florido,Gatos estão presentes no jardim,1,entailment,hypothesis
213,Não há nenhuma mulher descascando algumas batatas agilmente com um descascador,Nenhuma mulher está sem descascar batatas com um descascador,1,entailment,hypothesis
215,A mulher está sentada no jardim e a criança está escorregando do balanço,A mulher está fora de casa e a criança está acordada,1,entailment,hypothesis
225,Uma mulher está folheando um livro com várias outras obras empilhadas ao fundo,A mulher não está apenas observando as obras ao fundo,1,entailment,hypothesis
226,O palácio do governo está aberto a visitações,O palácio do governo não está fechado ao público,1,entailment,hypothesis
231,Uma mão é vista segurando uma pipa em direção a um arco-íris ao fundo,Há um arco-íris à vista.,1,entailment,hypothesis
