index,premise,hypothesis,label,readable_label,negated_part
2,Uma embalagem de presente decorada com um personagem de desenho animado,Não há nenhum personagem de desenho animado na embalagem do presente.,0,contradiction,hypothesis
4,Uma garota pequena no vestido vermelho está correndo na areia,Nenhuma criança está correndo na areia.,0,contradiction,hypothesis
13,Indivíduos vestindo roupas de frio estão sendo fornecidos com máscaras pela equipe do governo local,As pessoas não estão recebendo máscaras da equipe do governo local,0,contradiction,hypothesis
14,Um homem está degustando um prato de frutos do mar,O homem não está comendo frutos do mar.,0,contradiction,hypothesis
16,Uma reunião está ocorrendo virtualmente com a participação de várias pessoas apresentadas em formato de mosaico,Nenhuma pessoa está participando de uma reunião virtual no formato de mosaico,0,contradiction,hypothesis
20,Um manequim posa para fotos usando uma videira no cenário,O manequim não está sendo fotografado com uma videira ao fundo,0,contradiction,hypothesis
21,A menina está lendo um livro de histórias em sua cama antes de dormir,A menina não está em sua cama,0,contradiction,hypothesis
27,Um gato preto está empurrando uma bola de vôlei com o focinho na areia da praia,O gato preto não está brincando com uma bola de vôlei na areia da praia.,0,contradiction,hypothesis
31,Uma mulher está cozinhando um escorpião,Não existe um escorpião sendo preparado para a refeição.,0,contradiction,hypothesis
37,Um profissional da saúde está informando a população,A população não está sendo informada por um profissional da saúde,0,contradiction,hypothesis
38,O CD contém as partituras das obras mais famosas,O CD não tem as músicas mais famosas em forma de partitura.,0,contradiction,hypothesis
43,Pessoas estão participando da inauguração de uma exposição,Não há pessoas presentes na abertura de uma exposição,0,contradiction,hypothesis
49,Canecas de chope estão sendo brindadas,Não há um brinde acontecendo com canecas de chope,0,contradiction,hypothesis
52,Um flyer anuncia o lançamento de vendas online de uma marca de roupas,Uma marca de roupas não está iniciando suas vendas online.,0,contradiction,hypothesis
53,"Três braceletes de argolas nas cores dourada, prata e rosê estão no braço da mulher",A mulher não está usando três braceletes de argolas de diferentes cores.,0,contradiction,hypothesis
57,Quatro mãos estão segurando diferentes tipos de picolé,Não estão segurando diferentes tipos de sorvetes em palitos.,0,contradiction,hypothesis
