index,premise,hypothesis,label,readable_label,negated_part
2,Não há um personagem de desenho animado na embalagem do presente.,Há um personagem de desenho animado na embalagem do presente.,0,contradiction,premise
4,Nenhuma garota pequena no vestido vermelho está correndo na areia.,Uma criança está correndo na areia.,2,neutral,premise
13,Indivíduos vestindo roupas de frio não estão sendo fornecidos com máscaras pela equipe do governo local.,As pessoas estão recebendo máscaras da equipe do governo local.,0,contradiction,premise
14,Um homem não está degustando um prato de frutos do mar.,O homem está comendo frutos do mar.,0,contradiction,premise
16,Uma reunião não está ocorrendo virtualmente com a participação de várias pessoas apresentadas em formato de mosaico.,Várias pessoas estão participando de uma reunião virtual no formato de mosaico.,0,contradiction,premise
20,Um manequim não posa para fotos usando uma videira no cenário.,O manequim está sendo fotografado com uma videira ao fundo.,0,contradiction,premise
21,A menina não está lendo um livro de histórias em sua cama antes de dormir.,A menina está em sua cama.,2,neutral,premise
27,Um gato preto não está empurrando uma bola de vôlei com o focinho na areia da praia.,O gato preto está brincando com uma bola de vôlei na areia da praia.,0,contradiction,premise
31,Uma mulher não está cozinhando um escorpião.,Existe um escorpião sendo preparado para a refeição.,0,contradiction,premise
37,Um profissional da saúde não está informando a população.,A população está sendo informada por um profissional da saúde.,0,contradiction,premise
38,O CD não contém as partituras das obras mais famosas,O CD tem as músicas mais famosas em forma de partitura.,0,contradiction,premise
43,Pessoas não estão participando da inauguração de uma exposição,Há pessoas presentes na abertura de uma exposição,0,contradiction,premise
49,Canecas de chope não estão sendo brindadas,Há um brinde acontecendo com canecas de chope,0,contradiction,premise
52,Um flyer não anuncia o lançamento de vendas online de uma marca de roupas,Uma marca de roupas está iniciando suas vendas online.,0,contradiction,premise
53,"Três braceletes de argolas nas cores dourada, prata e rosê não estão no braço da mulher",A mulher está usando três braceletes de argolas de diferentes cores.,0,contradiction,premise
57,Quatro mãos não estão segurando diferentes tipos de picolé,Estão segurando diferentes tipos de sorvetes em palitos.,0,contradiction,premise
60,Uma guitarra não está sendo dedilhada por um músico,Um músico está tocando guitarra,0,contradiction,premise
61,Uma criança não está pintando usando a boca durante uma oficina,Uma criança está participando de uma oficina.,2,neutral,premise
62,A água não está sendo derramada na chaleira pelo homem,O homem está enchendo a chaleira com água,0,contradiction,premise
65,Uma ave com olhos e bico vermelhos não possui penas de cor azul vibrante,Existe um pássaro cujas penas são azuis.,0,contradiction,premise
66,"Na sala de aula não existem carteiras estudantis vazias, cadeiras vermelhas ou carteiras brancas durante o dia",Há cadeiras vermelhas na sala de aula.,0,contradiction,premise
69,"Não há idosos acomodados nos bancos do parque, contemplando o pôr do sol",Muitos idosos estão assistindo o pôr do sol no parque,0,contradiction,premise
70,Nenhum pote de geléia de tomate está disposto na mesa da cozinha,Há geléia de tomate na mesa da cozinha,0,contradiction,premise
74,O maestro da orquestra municipal não está no palco com as mãos para cima e a batuta empunhada,O maestro está pronto para reger a orquestra municipal.,0,contradiction,premise
78,A mulher apaixonada não é uma pintora de sonhos,A mulher apaixonada está ligada às artes.,2,neutral,premise
79,O homem não está lendo o rótulo da loção hidratante,O homem está analisando as informações do rótulo de um hidratante,0,contradiction,premise
80,Um campo de futebol à beira-mar está lotado,Não há ninguém jogando futebol na praia,0,contradiction,premise
86,Uma borboleta viva voa ao lado de uma mulher morena repousando em uma pedra,Há uma borboleta morta.,0,contradiction,premise
87,O menino e a menina não estão correndo ao longo do riacho,Duas crianças estão correndo perto de um corpo de água.,0,contradiction,premise
89,O quadro não tem o desenho da cabeça de um touro branco em perfil,O desenho no quadro representa um touro branco.,0,contradiction,premise
94,Brinquedos de tecido não estão alinhados no chão de madeira pintada de branco,Existem brinquedos no chão pintado de branco.,2,neutral,premise
