Unnamed: 0,premise,hypothesis,label,reviwers_output,confuse_sentence,low_quality,index,readable_label,negated_part
0.0,Um indivíduo está temerariamente conduzindo um automóvel,O indivíduo está ouvindo música enquanto dirige.,2,Neutral,OK,N,,,
1.0,Uma imagem dela mesma e de outra mulher está sendo capturada pela senhora,A senhora está segurando uma câmera profissional,2,Confusing,P,S,,,
2.0,Uma mulher está sorrindo em uma cidade à beira do rio,A mulher está chorando na montanha.,0,Contradiction,OK,N,,,
3.0,A região foi severamente danificada pelo rompimento de uma barragem,A barragem rompeu e causou danos severos na região.,1,Entailment,OK,N,,,
4.0,Há uma fila na agência bancária,A agência bancária está vazia,0,Contradiction,OK,N,,,
5.0,A estampa azul é o detalhe principal do jogo de lençol,A cor azul é o elemento mais distintivo do jogo de lençol,1,Entailment,OK,N,,,
6.0,Um filhotinho de cachorro está mostrando sinais de impaciência,O filhotinho de cachorro tem pelos macios.,2,Neutral,OK,N,,,
7.0,Uma mulher está fazendo música com duas guitarras,Nenhuma mulher está fazendo música,0,Contradiction,OK,N,,,
8.0,"Uma senhora e uma criança estão de mãos dadas em frente à oca, sobre um chão de terra",A senhora e a criança estão em um moderno apartamento na cidade,0,Contradiction,OK,N,,,
9.0,Um pote de barro contendo tremoços está posicionado sobre um azulejo decorativo com borda de madeira,Um pote de barro com tremoços está colocado sobre um suporte com borda de madeira,1,Entailment,OK,N,,,
10.0,A mulher de cabelos longos não está esperando na estação de ônibus,Uma mulher de cabelos longos está caminhando pela cidade.,2,Neutral,OK,N,,,
11.0,Uma máquina está realizando a limpeza da areia,A máquina funciona a base de energia elétrica,2,Neutral,OK,N,,,
12.0,A bola de beisebol está sendo lançada no estádio.,A bola de beisebol está em movimento,1,Entailment,OK,N,,,
13.0,O gato está caçando o rato,O gato tem pelo branco e preto,2,Neutral,OK,N,,,
14.0,O inventário e a regularização de bens imóveis são requisitos necessários para a continuação de uma ação envolvendo casas de papel,É necessário concluir o inventário e a regularização de propriedades para prosseguir com uma ação que envolve casas de papel.,1,Entailment,OK,N,,,
15.0,Um ipê-amarelo em flor sob um céu nublado,O ipê-amarelo tem uma aparência impressionante sob um céu nublado,2,Neutral,OK,N,,,
16.0,Uma menina está sentada à mesa escrevendo em alguns cadernos,A menina está ocupada escrevendo em seus cadernos à mesa,1,Entailment,OK,N,,,
17.0,Um menino está brincando em um parque infantil,O menino está em casa estudando.,0,Contradiction,OK,N,,,
18.0,Várias pessoas estão percorrendo a floresta que é bela e coberta de folhas outonais,As pessoas estão caminhando em uma praia ensolarada.,0,Contradiction,OK,N,,,
19.0,Um ex-combatente está exibindo diversos artefatos de uma batalha para um grupo de estudantes,O veterano de guerra está mostrando vários itens de uma batalha para um conjunto de alunos,1,Entailment,OK,N,,,
20.0,Minha esposa negra está sendo promovida em um anúncio para a transmissão ao vivo de amanhã,Minha esposa não está envolvida em nenhum anúncio.,0,Contradiction,OK,N,,,
21.0,A mulher está olhando a muito tempo para o oceano,A mulher está observando o oceano,1,Entailment,OK,N,,,
22.0,Uma garotinha observa atentamente um grupo de amigos jogando frisbee no parque,A menina não está prestando atenção em um jogo,0,Contradiction,OK,N,,,
23.0,Uma criança desfavorecida compartilha seu biscoito com seu filhote de cachorro,A criança desfavorecida tem um gato.,2,Neutral,OK,N,,,
24.0,A biblioteca tem uma grande mesa central sobre a qual estão livros empilhados e uma estante ao fundo,A estante na biblioteca está vazia,0,Contradiction,OK,N,,,
