index,premise,hypothesis,label,readable_label,negated_part
919,"Essa equipe de socorristas está realizando treinamento de resgate em alto mar, equipados com bóias de segurança",A equipe de socorristas não está bem preparada.,2,neutral,hypothesis
954,"Várias flores de cores diversas, incluindo rosa, amarelo e roxo, estão em um balde",As flores do balde não serão usadas para montar um arranjo floral.,2,neutral,hypothesis
4951,Um gato preto e branco está se aventurando pelo mato alto,Nenhum cachorro está correndo pelo campo próximo ao mato alto,2,neutral,hypothesis
405,Bombeiros estão no gramado aguardando um helicóptero que fará seu transporte,Os bombeiros não estão vestindo equipamentos de segurança,2,neutral,hypothesis
7868,Três linhas paralelas formam um horizonte com uma ilha situada entre elas,O sol não está se pondo atrás da ilha.,2,neutral,hypothesis
2265,"Uma mulher de vestido azul e chapéu preto está à frente de um homem de camisa verde, que está olhando para a direita",A mulher não está segurando uma bolsa rosa,2,neutral,hypothesis
5119,Um gato preto está descansando na grama verde em um dia nublado,O gato não está esperando por seu dono na grama,2,neutral,hypothesis
7618,Não há nenhum livro sendo aberto para leitura,Não há um livro fechado na estante.,2,neutral,hypothesis
2844,"Um garoto aguarda ansioso, com seu uniforme de futebol já pronto",O garoto não está usando tênis de futebol,2,neutral,hypothesis
518,O menino não está amarrando os cadarços do tênis.,O menino não está vestindo uma camiseta azul.,2,neutral,hypothesis
4894,"Um labrador preto com equipamento de trabalho está sentado na grama, olhando em direção ao observador",Não há um cão da raça poodle branco brincando na grama ao lado do labrador preto,2,neutral,hypothesis
6767,Três fotos mostram uma modelo loira exibindo diferentes óculos de sol,A modelo loira não tem um piercing no nariz.,2,neutral,hypothesis
6737,Duas garrafas de vinho branco estão posicionadas na mesa a diferentes distâncias,As garrafas de vinho branco não são de uma vinícola francesa,2,neutral,hypothesis
4023,Um gato preto está empurrando uma bola de vôlei com a pata em uma quadra de areia,O gato preto não está jogando vôlei na praia ao pôr do sol,2,neutral,hypothesis
7332,Múltiplas fatias de pão de calabresa estão dispostas em um prato sobre um jogo americano verde,O pão de calabresa não foi assado naquela manhã.,2,neutral,hypothesis
