,Unnamed: 0,premise,hypothesis,label,reviwers_output,confuse_sentence,low_quality,index,readable_label,negated_part,predicted_label
0,0.0,Um estudo afirma que jogar videogame pode aumentar a inteligência,Um estudo afirma que jogar videogame pode diminuir a inteligência,0,Contradiction,OK,N,,,,0
1,1.0,"Um indivíduo está sentado à beira do mar, sendo atingido por uma onda",O indivíduo está usando um chapéu de palha enquanto está sentado à beira do mar,2,Neutral,OK,N,,,,2
2,2.0,Uma embalagem de presente decorada com um personagem de desenho animado,Há um personagem de desenho animado na embalagem do presente.,1,Entailment,OK,N,,,,1
3,3.0,Um profissional de saúde está realizando radioterapia em um paciente deitado,O profissional de saúde tem muitos anos de experiência em radioterapia.,2,Neutral,OK,N,,,,2
4,4.0,Uma garota pequena no vestido vermelho está correndo na areia,Uma criança está correndo na areia.,1,Entailment,OK,N,,,,1
5,5.0,Um helicóptero é ilustrado voando entre as nuvens,Não há helicóptero voando entre as nuvens,0,Contradiction,OK,N,,,,0
6,6.0,A água está sendo derramada na chaleira pelo homem,O homem está usando uma camisa azul,2,Neutral,OK,N,,,,2
7,7.0,Um bolo retangular está coberto com ganache e decorado com raspas de chocolate preto na lateral e topo,O bolo retangular está sem cobertura e sem decoração,0,Contradiction,OK,N,,,,0
8,8.0,Atores e atrizes da peça estão vestidos com seus figurinos para a promoção do espetáculo,Os atores e atrizes têm experiência em teatro,2,Neutral,OK,N,,,,2
9,9.0,O céu está nublado e ventando,O céu está limpo e sem vento,0,Contradiction,OK,N,,,,0
10,10.0,"Relógios digitais estão disponíveis nas cores dourada, rosé e prata",Relógios digitais possuem alarme.,2,Neutral,OK,N,,,,2
11,11.0,Três palhaças estão se apresentando no espetáculo,Uma das palhaças tem uma peruca azul,2,Neutral,OK,N,,,,2
12,12.0,Uma garotinha está usando um vestido amarelo e está brincando no parquinho,Uma garotinha vestindo azul está sentada em casa,0,Disagreement,OK,S,,,,0
13,13.0,Indivíduos vestindo roupas de frio estão sendo fornecidos com máscaras pela equipe do governo local,As pessoas estão recebendo máscaras da equipe do governo local,1,Entailment,OK,N,,,,1
14,14.0,Um homem está degustando um prato de frutos do mar,O homem está comendo frutos do mar.,1,Entailment,OK,N,,,,1
15,15.0,Uma criança está correndo atrás de uma bola em um campo de futebol,O campo de futebol está bem cuidado e a grama está verde e cortada.,2,Neutral,OK,N,,,,2
16,16.0,Uma reunião está ocorrendo virtualmente com a participação de várias pessoas apresentadas em formato de mosaico,Várias pessoas estão participando de uma reunião virtual no formato de mosaico,1,Entailment,OK,N,,,,1
17,17.0,"Potes, tigelas e copos de vidro estão expostos, com uma das tigelas contendo peras",Os potes de vidro estão cheios de compota de maçã.,2,Neutral,OK,N,,,,2
18,18.0,Uma máscara branca e um par de luvas azuis descartáveis estão jogadas no chão,Uma enfermeira deixou cair sua máscara e luvas no chão.,2,Neutral,OK,N,,,,2
19,19.0,Um homem está dirigindo um carro para o fogo,O homem está conduzindo o carro para longe do fogo,0,Contradiction,OK,N,,,,0
20,20.0,Um manequim posa para fotos usando uma videira no cenário,O manequim está sendo fotografado com uma videira ao fundo,1,Entailment,OK,N,,,,1
21,21.0,A menina está lendo um livro de histórias em sua cama antes de dormir,A menina está em sua cama,1,Entailment,OK,N,,,,1
22,22.0,Um pedaço de tecido está sendo costurado por uma mulher,Uma mulher está cozinhando o jantar,2,Neutral,OK,N,,,,2
23,23.0,Não há nenhuma mulher loira com chapéu de palha em pé ao lado de um carrinho de sorvete,A mulher ao lado do carrinho de sorvete é morena,2,Neutral,OK,N,,,,0
24,24.0,Uma criança está alimentando um pato amarelo com migalhas de pão na beira do lago,"A criança está correndo longe do pato, com medo.",0,Contradiction,OK,N,,,,0
25,25.0,Três bodies estampados estão na vitrine da loja,Não há bodies estampados na vitrine.,0,Contradiction,OK,N,,,,0
26,26.0,"A modelo está sentada em uma cadeira em uma casa, vestindo um chinelo rasteira bege com enfeite",A modelo tem cabelos longos ondulados.,2,Neutral,OK,N,,,,2
27,27.0,Um gato preto está empurrando uma bola de vôlei com o focinho na areia da praia,O gato preto está brincando com uma bola de vôlei na areia da praia.,1,Entailment,OK,N,,,,1
28,28.0,"Dois gatos, um cinza e outro laranja, estão brincando despreocupadamente juntos no quintal",Os gatos são irmãos.,2,Neutral,OK,N,,,,2
29,29.0,Um homem está fazendo o sinal de positivo com a mão,O homem está fazendo o sinal de negativo com a mão,0,Contradiction,OK,N,,,,0
30,30.0,Uma gaivota está voando sobre as ondas do oceano,A gaivota está nadando nas ondas do oceano,0,Contradiction,OK,N,,,,1
31,31.0,Uma mulher está cozinhando um escorpião,Existe um escorpião sendo preparado para a refeição.,1,Entailment,OK,N,,,,1
32,32.0,Alguém está derramando suco de laranja na mulher,A mulher está usando um vestido branco.,2,Neutral,OK,N,,,,2
33,33.0,Jovens em trajes de esporte não estão jogando bola no campo,Jovens estão jogando bola no campo em trajes de esporte,0,Contradiction,OK,N,,,,0
34,34.0,Um gato preto está empurrando uma bola de vôlei com o focinho na areia da praia,Um gato preto está dormindo na areia da praia.,0,Contradiction,OK,N,,,,0
35,35.0,Caixas de vacinas estão sendo descarregadas,Nenhuma dose de vacina está sendo movida do lugar,0,Contradiction,OK,N,,,,0
36,36.0,Um bebê está mamando no peito da mãe,O bebê está usando fralda,2,Neutral,OK,N,,,,2
37,37.0,Um profissional da saúde está informando a população,A população está sendo informada por um profissional da saúde,1,Entailment,OK,N,,,,1
38,38.0,O CD contém as partituras das obras mais famosas,O CD tem as músicas mais famosas em forma de partitura.,1,Entailment,OK,N,,,,1
39,39.0,A mulher está aplicando despretensiosamente o cream cheese em um bagel torrado,O cream cheese é produzido na Filadélfia.,2,Neutral,OK,N,,,,2
40,40.0,Dois indivíduos estão trabalhando no computador,Os dois indivíduos estão trabalhando em um projeto de programação,2,Neutral,OK,N,,,,1
41,41.0,Uma mulher está ralando o queijo com um utensílio,A mulher está preparando um prato que leva queijo.,2,Neutral,OK,N,,,,2
42,42.0,Uma mulher está admirando as gravuras da coleção na parede enquanto está parada na escada do local,A mulher está planejando comprar uma das gravuras na parede,2,Neutral,OK,N,,,,2
43,43.0,Pessoas estão participando da inauguração de uma exposição,Há pessoas presentes na abertura de uma exposição,1,Entailment,OK,N,,,,1
44,44.0,Existe um maço de couve fresca nas mãos de uma pessoa,As mãos da pessoa estão vazias.,0,Contradiction,OK,N,,,,0
45,45.0,"A cama está arrumada e sobre ela há uma bandeja com uma xícara de café, uma agenda e um notebook",A cama está desarrumada e não há nada sobre ela.,0,Contradiction,OK,N,,,,0
46,46.0,"O céu exibe tons de amarelo, laranja e vermelho como se estivesse em chamas",O céu parece um quadro de Van Gogh,2,Neutral,OK,N,,,,2
47,47.0,Pessoas estão sentadas em formato de roda em um moderno e colorido espaço de trabalho,As pessoas estão sentadas em uma mesa redonda em um espaço de trabalho moderno,2,Neutral,OK,N,,,,0
48,48.0,O homem está guardando o violão na estante,O homem está ouvindo música clássica.,2,Neutral,OK,N,,,,2
49,49.0,Canecas de chope estão sendo brindadas,Há um brinde acontecendo com canecas de chope,1,Entailment,OK,N,,,,1
50,50.0,Dez brigadeiros de limão siciliano estão enrolados em granulado bolinha verde e dispostos em uma bandeja retangular de madeira,Os brigadeiros de limão siciliano foram feitos por uma confeiteira renomada,2,Neutral,OK,N,,,,2
51,51.0,A informação principal é que restam alguns dias para as eleições,As eleições já ocorreram.,0,Contradiction,OK,N,,,,1
52,52.0,Um flyer anuncia o lançamento de vendas online de uma marca de roupas,Uma marca de roupas está iniciando suas vendas online.,1,Entailment,OK,N,,,,1
53,53.0,"Três braceletes de argolas nas cores dourada, prata e rosê estão no braço da mulher",A mulher está usando três braceletes de argolas de diferentes cores.,1,Entailment,OK,N,,,,1
54,54.0,Uma reunião está ocorrendo virtualmente com a participação de várias pessoas apresentadas em formato de mosaico,A reunião está acontecendo pelo Zoom,2,Neutral,OK,N,,,,2
55,55.0,Uma pessoa está protegendo um violão,Uma pessoa está cantando uma canção,2,Neutral,OK,N,,,,2
56,56.0,Uma mulher está se equipando antes de mergulhar,A mulher está se preparando para escalar uma montanha,0,Contradiction,OK,N,,,,2
57,57.0,Quatro mãos estão segurando diferentes tipos de picolé,Estão segurando diferentes tipos de sorvetes em palitos.,1,Entailment,OK,N,,,,2
58,58.0,"Homens estão vestindo chapéus de palha e crachás de festival, olhando intrigados para algo no horizonte",Há uma banda tocando no palco principal do festival.,2,Neutral,OK,N,,,,2
59,59.0,Um homem de patins não está no céu próximo a uma montanha,O homem de patins está perto de um lago,2,Neutral,OK,N,,,,2
60,60.0,Uma guitarra está sendo dedilhada por um músico,Um músico está tocando guitarra,1,Entailment,OK,N,,,,1
61,61.0,Uma criança está pintando usando a boca durante uma oficina,Uma criança está participando de uma oficina.,1,Entailment,OK,N,,,,1
62,62.0,A água está sendo derramada na chaleira pelo homem,O homem está enchendo a chaleira com água,1,Entailment,OK,N,,,,1
63,63.0,O shampoo e condicionador estão dispostos na janela do box do banheiro,Não há nada na janela do box do banheiro,0,Contradiction,OK,N,,,,0
64,64.0,Uma mulher está subindo em uma bicicleta em uma calçada,Uma mulher está andando a pé pela calçada,0,Contradiction,OK,N,,,,0
65,65.0,Uma ave com olhos e bico vermelhos possui penas de cor azul vibrante,Existe um pássaro cujas penas são azuis.,1,Entailment,OK,N,,,,1
66,66.0,"Uma sala de aula contém carteiras estudantis vazias, cadeiras vermelhas e carteiras brancas durante o dia",Há cadeiras vermelhas na sala de aula.,1,Entailment,OK,N,,,,1
67,67.0,"A lancheria serve um sanduíche composto por pão tipo baguete, alface, tomate, pepino, queijo, carne e bacon",A lancheria serve suco de laranja,2,Neutral,OK,N,,,,2
68,68.0,A escritora está procurando alguém para dispensar o editor do seu livro,A escritora está pensando em mudar a capa do seu livro,2,Disagreement,OK,S,,,,2
69,69.0,"Vários idosos estão acomodados nos bancos do parque, contemplando o pôr do sol",Muitos idosos estão assistindo o pôr do sol no parque,1,Entailment,OK,N,,,,1
70,70.0,Quatro potes de geléia de tomate estão dispostos na mesa da cozinha,Há geléia de tomate na mesa da cozinha,1,Entailment,OK,N,,,,1
71,71.0,A água está sendo derramada na chaleira pelo homem,A chaleira está vazia e seca,0,Contradiction,OK,N,,,,0
72,72.0,Os pais da garota estão presentes,A garota está sem os pais,0,Contradiction,OK,N,,,,0
73,73.0,O indivíduo está afinando o violão,O indivíduo não está mexendo em seu instrumento musical,0,Contradiction,OK,N,,,,0
74,74.0,O maestro da orquestra municipal está no palco com as mãos para cima e a batuta empunhada,O maestro está pronto para reger a orquestra municipal.,1,Entailment,OK,N,,,,1
75,75.0,A toalha molhada que está sobre uma necessaire,A toalha azul está sobre uma necessaire verde,2,Neutral,OK,N,,,,2
76,76.0,O chimpanzé está rodeado de folhas na floresta,O chimpanzé está em uma área deserta sem vegetação.,0,Contradiction,OK,N,,,,0
77,77.0,"Vários homens se reúnem e se abraçam, formando um círculo no centro de um campo de futebol",Os homens estão usando uniformes de futebol vermelho e preto,2,Neutral,OK,N,,,,2
78,78.0,A mulher apaixonada é uma pintora de sonhos,A mulher apaixonada está ligada às artes.,1,Entailment,OK,N,,,,2
79,79.0,O homem está lendo o rótulo da loção hidratante,O homem está analisando as informações do rótulo de um hidratante,1,Entailment,OK,N,,,,1
80,80.0,Um campo de futebol à beira-mar está deserto,Não há ninguém jogando futebol na praia,1,Entailment,OK,N,,,,1
81,81.0,Muitos surfistas estão deslizando sobre as ondas,Os surfistas estão competindo numa competição internacional.,2,Neutral,OK,N,,,,2
82,82.0,A garota está equilibrando-se em um monociclo sobre uma ponte de corda,A garota está usando um capacete enquanto anda de monociclo,2,Neutral,OK,N,,,,2
83,83.0,O CD contém as partituras das obras mais famosas,A capa do CD tem uma imagem de uma orquestra.,2,Neutral,OK,N,,,,2
84,84.0,Não há nenhum coelho saltando buracos,Os coelhos estão comendo cenouras em um campo.,2,Neutral,OK,N,,,,2
85,85.0,A equipe brasileira está reunida em círculo na quadra com os braços erguidos,A equipe brasileira está usando uniformes verdes e amarelos,2,Neutral,OK,N,,,,2
86,86.0,Uma borboleta sem vida jaz ao lado de uma mulher morena repousando em uma pedra,Há uma borboleta morta.,1,Entailment,OK,N,,,,1
87,87.0,O menino e a menina estão correndo ao longo do riacho,Duas crianças estão correndo perto de um corpo de água.,1,Entailment,OK,N,,,,1
88,88.0,Não há nenhum barco de vela vermelho navegando contra a correnteza,Há um barco a motor azul navegando ao longo do curso do rio.,2,Neutral,OK,N,,,,2
89,89.0,O quadro tem o desenho da cabeça de um touro branco em perfil,O desenho no quadro representa um touro branco.,1,Entailment,OK,N,,,,1
90,90.0,A atleta  ganhou a medalha de bronze nos Jogos Paralímpicos,A atleta é uma excelente nadadora,2,Neutral,OK,N,,,,2
91,91.0,Um homem está sentado próximo a dois adolescentes,Um homem está lendo um livro.,2,Neutral,OK,N,,,,2
92,92.0,A afirmação defende que é possível realizar um treinamento intenso mesmo estando em casa,O treinamento intenso só pode ser feito em uma academia,0,Contradiction,OK,N,,,,0
